Database ID,Date,Title,Filename,Sub Title,FirstLine,Category,Sub-Category,Sub-Sub_Category,Engineers,Station ID,Summary Description,Comments,Dating Notes
1957mmddW3044,1957,Dr Fumanchu,,,,Radio,WOR Show,,,,,,
1957mmddW3045,1957,Giant Bicycle,,,,Radio,WOR Show,,,,,,
1957mmddW3048,1957,I Want Everything,,,,Radio,WOR Show,,,,,,
1957mmddW3049,1957,Intro by Al Collins,,,,Radio,WOR Show,,,,,,
1957mmddW3050,1957,Jugband Music,,,,Radio,WOR Show,,,,,,
1957mmddW3051,1957,Monkey in a Room,,,,Radio,WOR Show,,,,,,
1957mmddW3052,1957,Mystery Sound,,,,Radio,WOR Show,,,,,,
1957mmddW3053,1957,Night Person Lifesaver,,,,Radio,WOR Show,,,,,,
1957mmddW3054,1957,Powers of Darkness,,,,Radio,WOR Show,,,,,,
1957mmddW3055,1957,Sealed in Plastic,,,,Radio,WOR Show,,,,,,
1957mmddW3056,1957,A Book Shep Read,,,,Radio,WOR Show,,,,"Shep talks about two books he read by author Jean Dutourd - ""A Dog's Head"" and ""Five A.M.""

Synopsis:
Jean Dutourd's A Dog's Head is a wonderful piece of magical realism, reminiscent of Voltaire, orges and Kafka. With biting wit, Dutourd presents the story of Edmund Du Chaillu, a boy born, to his bourgeois parents's horror, with the head of a spaniel. Edmund must endure his school-mate's teasing as well as an urge to carry a newspaper in his mouth. This is the story of his life, trials, and joys as he searches for a normal life of worth and love.",,
1957mmddW3057,1957,Rescue at Sea,,,,Radio,WOR Show,,,,,,
1957mmddW3058,1957,Sinking in a Rowboat,,,,Radio,WOR Show,,,,,,
1957mmddW3059,1957,Sorehead Listener,,,,Radio,WOR Show,,,,,,
1957mmddW3060,1957,Starlings,,,,Radio,WOR Show,,,,,,
1957mmddW3061,1957,Story About BUY BUY BUY,,,,Radio,WOR Show,,,,,,
1957mmddW3062,1957,Sucker List,,,,Radio,WOR Show,,,,,,
1957mmddW3063,1957,Ending Theme,,,,Radio,WOR Show,,,,,,
1957mmddW3064,1957,Florida Travelog,,,,Radio,WOR Show,,,,,,
19581101W,"November 1, 1958",Shep's Neolithic Period,,,,Radio,WOR Show,,"Phil, Bruce",,"Shep begins talking about milestones, when having just gotten out of the Army he was deep in the heart of his Neolithic period.

It's a beautiful Saturday morning as he came to work whistling through Times Square on his Vespa.

Shep saw a play last night - ""The Man in the Dog Suit"" by Hume Cronyn

Looking back at the ruins of your life. Someone should blow a trumpet in your ear whenever you reach a momentous point in your life.

Walking through Goldblatt's dept store looking at the 'remainder' books. He bought 3 of them. ""Animal Farm"" by George Orwell; ""Mistress Masham's Repose"" by T.H. White, and an un-named 3rd book. Later claims to have changed his course in college because of these books he bought.

Bruce the engineer comes into the studio and Shep tells him to do what he has to do and Bruce says ""I don't know what I am supposed to do.""
-- break for Grand Union commercial and WOR ID --
Shep asks 'What am I supposed to do?'

Monsters and the abominable snowman.

After commercials, Shep reads the local traffic reports - sponsored by Chrysler

The Golden Hamster Hoax - Mr. Bruner answers an ad for fun and profit by selling golden hamsters during the depression. He never made a cent.

Other ads - How to make your own Tesla Coil and Fleischmann's Yeast for the complexion.

""Speaking of rubble strewn roads..."" - Volvo commercial - Shep says he spent all day Thursday at Yonkers Raceway driving the new Volvo.

Engineer Phil brings Shep coffee.

According to NY Times the 1959 new car designs from Detroit are making matters difficult for the car washes - may cost $500 per car wash to modify equipment.

'Does anybody know where I can get a new nose flute? Martha Deane stepped on mine!'

Shep going to Village Gate concert on the 9th - see ad below

I'm doing it because I like it.

'My Heart's in the Highlands' at 'Theatre Club' - E 30th st over ""Cedars"" Lebanese Restaurant

Phil leaves followed by commercials and Shep reading the traffic reports again.

We're in the middle of a big election campaign. Each side points the finger at the other side and how bad it will be if they get in. (Nothing seems to have changed in 50 years!) Shep talks politics in general - wouldn't it be great if the candidates ran on philosophy?

""Speaking of falling apart, we have a new sponsor...""
First a Volvo commercial and then the new sponsor - 
Electronic Workshop (see ad below)
Shep raves about them - how they are owned by a Harvard trained physicist - Clifton Howard. Shep says he owns a MacIntosh 60watt amplifier, a MacIntosh C-8 pre-amp and mixer, and a Garrard 300 turntable.

More commercials and general banter

Next is the Ed Petit Show",,
19581102W,"November 2, 1958",Dr Sholem Stein - an interview,,,,Radio,WOR Show,,,,"""Dr Sholem Stein, CCNY Professor"" is Shep's guest",,
19581108W,"November 8, 1958",Making History Because it Makes Sense - Reaching the Apex of Life,,,,Radio,WOR Show,,"Bruce Elliot, Jan",,"Where are the elves?

People sitting in front of the TV or movie screen and believing this utter drivel and going away feeling warm inside - that it really was this way.

Driving through Times Square on his Vespa, noting the changes that take place over time when driving the same root. The changing marquees. There are so many things to do in this town. Shep has been to Paris, London, Brussels, Amsterdam, Frankfurt, Dublin and there is no more exciting city as this city. New York is the capitol of the world - most people who live here don't know that and how long will it last until another city takes its place? 

Fine tuning the antenna to get a better picture.
Family had a Scott DX-10 radio (Note: probably meant AC-10 which was the popular model when he was a kid) The old man was constantly polishing the radio and cleaning it with carbon tetrachloride. He kept a log of all the stations he ever heard. The old man was an early Uncle Fletcher. (Vic and Sade)

Charlie Egelston died last week. He was a good friend of Shep's and for over 26 years played the part of Shuffle Shober on Ma Perkins.

Shep returns from the news break playing the nose flute to the theme. ""I feel better now!""

The car that makes history because it makes sense. It's getting to the point now where you can make history just if you make sense.

""...so 6000 years from now will you have known if you have ever lived? ... In the seventy years of your lifetime, do you, do you know or are you aware of the moment in your life when you are at your absolutely most complete and thorough, magnificent, your most magnificent - everything is the rightest that it will ever be - your physical being, your mental being, you are at the very apex of your career this moment. How long does this moment last? Do you know it?"" 

It's this dream that the next minute is going to see something more magnificent happen to them or they will be somehow greater or more heroic than they have ever been in their lives before.""

""There's a kid in the control room - he says YEAHH! By George I haven't seen a kid in years - there's a kid! They still have kids! Look at that - there's two kids in the control room! Live kids, in tree dimensions""
Shep invites him into the studio and asks him what he is doing here. The kid says ""To get your autograph"". Shep asks ""Do mothers still give motherly words of advice?"" The kid responds ""Yes, really, they do.""

""What a golden moment - a kid!... That little shrimp's got the history of the world and the future of the world in his hands. What a frightening thought.""

-- Commercials --

""We'll be here until noon here - this is Harold Everyman""

Shep side tracks into general banter backtracking to the first commercial and then discussing his role as ""Girth"" in Ivanhoe while in the 6th grade.

-- conclusion of commercials --

""This is your friend Harold Everyman - we'll be back tomorrow night at 9.""",,
19581116W,"November 16, 1958",Full Sunday Show,,,,Radio,WOR Show,,,,,,
19581122W,"November 22, 1958",Creatures of Nature,,,"""By George, it's not going to happen again!""",Radio,WOR Show,,"Dan, Jim",,"""Harold Everyone here - we'll be here until noon.""
Time magazine has conscience editor.
Marquees in Times Square - how they appear different in the day and night. ""The Flesh is Weak""

""We are creatures of nature""

Shep tells the story of how he was in the northern Michigan woods and got up on a Saturday morning at 11:00 and it was as dark as if it were 11:00 at night. He turned on the radio and all seemed normal. He tried calling the operator and aside from a strange buzzing on the line everything was normal ather end.

Someday books will have commercials - everything is being packaged - even the weather. Everything now has to be fun, deoderized, and sprayed. New Yorker's fear the weather more than anybody else in the country.

Answering machines - all of a sudden the whole world is composed of robots.

Shep says that last night (11-21-1958) he was at the annual Humor Forum at the University of Pennsylvania with Shel Silverstein. There were about 1100 kids at the auditorium. 1 year ago the main question were about the prob. Of conformity, this year it is the opposite. 

In a week or two we are going up to Princeton.

Hoffritz commercial - Uncle Fletcher would have dug Hoffritz.

Continued discussion of Vic and Sade- 'What was the name of the movie house, the movie and who played in the movie?' (answered later during phone call)

Shep's aunt was entirely made of corsets and she creaked. She took Shep to a Johnny Weismueller & Maureen O'Sullivan movie (Tarzan). Shep is young and when the old professor dies Shep is stunned and isn't able to separate the picture from reality.

Shep reads a letter from a father about his kid who saw a Fu Man Cu movie. TV stations showing it because ""we are living in very periless times, strange times.""

Aladdin shoes vs round toe shoes. 
Shep wears a checkered shirt to WOR occasionally and takes a lot of heat.

Back to Vic and Sade - ""Bright Kentucky Hotel"" and the ""Sacred Sons of the Milky Way Lodge""

Pegine Fitzgerald calls in. She's a big Vic and Sade fan and theres more chatter about Vic and Sade. She answers Shep's earlier questions: The theatre was the Bijou Theatre playing ""Hearts of Flame"" starring Gloria Golden.

Worth perfume commercial - 'Big problem in the perfume industry is people can't pronounce the names'",,
19581123W,"November 23, 1958",Full Sunday Show,,,,Radio,WOR Show,,,,,,
19581129W,"November 29, 1958",Full Saturday Show,,,,Radio,WOR Show,,,,,,
19581130W,"November 30, 1958",Full Sunday Show,,,,Radio,WOR Show,,,,,,
19581207W,"December 07, 1958",Full Sunday Show,,,,Radio,WOR Show,,,,,,
19581213W,"December 13, 1958",Full Saturday Show,,,,Radio,WOR Show,,,,,,
19581214W,"December 14, 1958",Full Sunday Show,,,,Radio,WOR Show,,,,,,
19581220W,"December 20, 1958",Full Saturday Show,,,,Radio,WOR Show,,,,,,
1958mmddW01,1958,Annie Decoder Pin,,,,Radio,WOR Show,,,,,,
1958mmddW02,1958,Interview With SJ Perelman,,,,Radio,WOR Show,,,,,,
1958mmddW03,1958,Life As A Situation Comedy,,,,Radio,WOR Show,,,,,,
1958mmddW04,1958,Nat King Cole Ad,,,,Radio,WOR Show,,,,,,
1958mmddW05,1958,Peter Pain,,,,Radio,WOR Show,,,,,,
1958mmddW06,1958,Shep Reads The Funnies,,,,Radio,WOR Show,,,,,,
1958mmddW07,1958,Show Music,,,,Radio,WOR Show,,,,,,
1958mmddW08,1958,S.J. Perelman,,,,Radio,WOR Show,,,,,,
1958mmddW09,1958,Man Without An Outlook,,,,Radio,WOR Show,,,,None,,
1958mmddW10,1958,Peopletropic,,,,Radio,WOR Show,,,,,,
19590426W,"April 26, 1959",Monster Feet and Style,,,,Radio,WOR Show,,,,"This 3 minute clip was played by Shep on his June 21, 1968 show",,
19590502W,"May 2, 1959",Crawling Toward the Golden Light,1959-05-02_030_Crawling_Toward_Golden_Light.mp3,,,Radio,WOR Show,,,,"Mankind inching himself forward towards that great golden glow on the horizon - has shed that last pair of vestigial gill covers, and has advanced from the cave, and is starting to crawl toward the light!

National League player Myril Hoag noted to have one foot size 6 and one-half and the other size four and one-half!

Shep citing ""tight underwear"" as reason for his own meager 148 batting average in  early career

How to make big money in the senator business by Lyndon B. Johnson

Ad noted in the Times for a 100 million volt electron accelerator - an atom smasher for your basement!

Twenty-six of the 28 ice cream flavors noted at a Howard Johnson's on PA Turnpike - highest percentage found so far!

Salute to Ronald Medzger of Marshall, Illinois - Drove his farm truck onto the sidewalk and sheared off thirty-three parking meters like cornstalks as the sheriff jumped onto the running board in an attempt to stop him!  Only regret is that he missed two of the offending meters!  AVANT MEDZGER!  He did it for all of us! 

Discussion of Shortstop players

EXTEMPOR MORAYS DOC  ""You are stepping on my foot,"" or, as an analogy ""My house is yours! Welcome and sit!""

Celebration of the ""Equal Verninox"" noted","Early example of the 45 minute format which was later to become Shepherd's mainstay on WOR Radio

The ""Tight Underwear story was told on his 5-9-66 show and again during the 8-26-67 Limelight show.

During the Music Age Record Shop commercial Shep says that he made a record in 1955 called ""Into the Unknown"". Shep further went on to say that the record is out of print and that it is hard to find, he says that he did not have a copy himself!",
195908ddW,August 1959,Thoughts,,,,Radio,WOR Show,,,,,,
19591122W,"November 22, 1959",Dream Recycle - Blow Guns - Clouds,1959-11-22_010_Dream_Recycle-Blow_Guns-Clouds.mp3,,,Radio,WOR Show,,,,,,
19591227W,"December 27, 1959",Last Sunday Show of the Year,1959-12-27_041_Sunday_Show.mp3,,,Radio,WOR Show,,,,"Each man marches to his own drum - Coming new year
Charlie and Og - it's going to be different next year
Wants to hold mill at ""Sweet Bird of Youth"" do bird calls
G. Ade - Successful Tobias 
Request night - Stop crying ma (no end)
(After break) - gap in tape, then Head thumping - Sheik
more Kopfspeil 
time signal 
(break in tape) Kashmir -- poor family
Poem - Service - New Year - break - scat with Duke E.
Thanks to listeners for loyalty
Bitter Tea of Gen. Yen
First night in Army
Theme song ending - ends 1AM - into Long John","This show was originally thought to be from December 31, 1959 which is a Thursday. Shep did not broadcast weekdays at this time.

Shep says ""We'll be here until one o""clock."" He also says something like, ""Should I wait until after 11?"" regarding something or other he was going to do - either the jazz, or the George Ade story, or the head thumping.

He also says ""This is the last show of 1959"" Since Thursday was the 
31st, then this broadcast would be the evening of  December 27 into the 28th of 1959. He never mentions it being midnight even though he does make reference  to the Holiday.

There is no mention of Shep being on the air in the WOR evening lineup for the two dates according to the New York Times Radio section:

Sunday, December 27, 1959 

9:00 News; Jean Shepherd Show
9:30 Sports; Jean Shepherd Show
10:00 News; Jean Shepherd Show
11:00 News Report
11:15 Jean Shepherd
1:00 Long John


Thursday, December 31, 1959

9:00 News; UN Today
9:15 Studio X - Music
10:00 News
10:15 Studio X - Music
11:00 News
11:15 Studio X - Music
12:00 Long John",
19591231W,"December 3, 1959",Thursday Show,,,,Radio,WOR Show,,,,,,
1959mmddW,Possibly July 1959,Clean H Bomb - Gothic NY Architecture,,,,Radio,WOR Show,,"Ed, Phil Tonken for station ID",12:30 AM ID by Phil,"Shep is quietly reflective, more serious than usual.  He talks about the folly of a ""clean h-bomb"", the ghosts of the ancient Greek and Gothic civilizations in the architectural details of the old buildings in Manhattan, and the story of a man whose crowning moment was catching a foul ball at a White Sox game.  

6,000 years from now we'll all be gone

Mentions the Soviet National Exposition in New York",,"Mentions the Soviet National Exposition in New York - (June 30, 1959 running for 42 days)

The 12:30 AM station ID by Phil makes it a Sat or Sunday night show"
1959mmddWa,Apr/May 1959,Sunday Night Show Segment,,,,Radio,WOR Show,,,,,,
1959mmddWb,Apr/May 1959,Sunday Night Show Segment,,,,Radio,WOR Show,,,,,,
1959mmddWc,1959,Man Without an Outlook,,,,Radio,WOR Show,,,,,,was dated 1958 by FHC
19600110W,"January 10, 1960",Amos and Andy - George Ade,,,,Radio,WOR Show,,,,,,
19600117W,"January 17, 1960",Sunday night show,,,,Radio,WOR Show,,,,"G. Ade -Fool Killer
Signs of the times
True story of Cinderella
Jug & banjo music
G. Ade? Bohemian story
Sky IS falling
Jazz with nose flute accompaniment
Ad clippings
John Quinn letters
Gothic music
Mother at butcher's
Sky-jector
Remember 1955?
Grandmother & dice
Girl watching
Man who barked
Annie, Mrs. Meany,Mrs. Meano
Hell-bound train
Driving through night
Cracker barrel cheese ad
Driving, cont.
Pushing rock up hill
America poem
Look baby...
An excitement in men",,
19600131W,"January 31, 1960",Uncle Carl's Inner Tube,,,,Radio,WOR Show,,,,,,
19600305W,"March 5, 1960",Social Commentary,,,,Radio,WOR Show,,,,,,
19600306W,"March 6, 1960","Doppler, Hell Bound Train",,,,Radio,WOR Show,,,,,,
19600312W,"March 12, 1960",Head Thumping,,,,Radio,WOR Show,,,,,,
19600319W,"March 19, 1960",Packing For Europe - Passion,,,,Radio,WOR Show,,,,,"This is the last of the Saturday 10:15am to Noon shows. Shep was leaving for a trip to Europe and mentions that the shows while he is away have been pre-recorded. Is next live show will be 'two weeks from today' (April 2, 1960)",
19600320W,"March 20, 1960",Life cycle of common man,,,,Radio,WOR Show,,,,"Life cycle of common man--Nemerov
 Jug & banjo music
 When 2 strong men -- 2 drivers in snow
 Gothic music, comments on time
 Your life plan projection
 Look baby...
 Party idea, old boyfriends
 Looking at sky
 Og and Charlie, what is it all about?
 We drink, we live -- flamenco
 Earth life came from garbage?
 Marching with Dixieland
 Americans love slogans
 Dixieland, cont.",,
19600320W1,"March 20, 1960",Standoff in the snow - Nemerov - Travel,,,,Radio,WOR Show,,,,,,
19600326W,"March 26, 1960",Blowing Bubbles,1960_03_26_1st_Sat_Show_Last_65_min.mp3,,,Radio,WOR Show,,Tony,,"Shep's first show in the Saturday 12:15-2 pm time slot.

Reads a letter from a teen listener who noticed a sign at the Hayden Planetarium that read ""Solar System & Restrooms that way"".

Story about being asked to identify constellations on Boy Scout camping trips.

Shep recently missed three appointments because he was fascinated watching workers remove three giant Pepsi bottles from a billboard in Times Square.

Story about spending a quarter on ""special prize grab bags"" at the local dime store.",,
19600402W,"April 2, 1960",Swiss Fondu (Partial Show),,,,Radio,WOR Show,,,,,,
19600402Wa,"April 2, 1960",Return From Europe,,,,Radio,WOR Show,,,,,,
19600409W,"April 9, 1960",Coney Island,1960_04_09_Coney_Island.mp3,,,Radio,WOR Show,,Jim,,"Coney Island, Automatic Pitcher, German Winter, Rubber Stamps, Nearsighted in Style, False Teeth",,
19600410W,"April 10, 1960",Writers Block - Expandng Universe,,,,Radio,WOR Show,,,,,,
19600416W,"April 16, 1960",Locked out of station,1960_04_16_Locked_Out.mp3,,,Radio,WOR Show,,Jim,,"Locked out of station, Nasty Aunt Teresa Molding Jello and lives, Japanese Cameras, Neon Price War


Being locked out of the station, is this a conspiracy across the whole country? 

Taxi cabs, tipping the drivers.

Expectancy in life.

Aunt Teresa, Jello molds, molded foods, Uncle Fred and the movie camera.

Cheap Japanese cameras, and price wars resorting to neon signs",,
19600604W,"June 4, 1960","Late Late Late Show, Snake Chokin' Day, Night People, Chicago Bug House, Sins, Golf, Fishing",1960 06 04 Night People.mp3,,,Radio,WOR Show,,"Don, Russ, Jan",,,,
19600611W,"June 11, 1960","Whoopee Cab, Air  Raid Shelters, Jones Beach, Ex-People, The Loop.",1960_06_11_1.mp3,,,Radio,WOR Show,,,,,,
19600618W,"June 18, 1960","Wet Blankets, Protest Marches, Machine People, White Sox Scoreboard",,,,Radio,WOR Show,,,,,,
19600620W,"June 20, 1960",Boxing - Patterson Vs. Johansen w/Howard Cosell,,,,Radio,WOR Show,,,,,,
19600625W,"June 25, 1960","Generation Gap and the Beats, Human Ant Hill, Dance Marathon, Fishing For Bullheads on Golf Course",1960 06 25 Part 1.mp3,,,Radio,WOR Show,,"Don, Russ, Jim",,"Part 1
Shep talks about Le Mans car racing, the rules that apply and the general racing atmosphere involved with the Grand Prix and about the 'standing start' of the Le Mans.
He talks about going to the airplane races, watching makeshift aircraft being flown 50 to 75 feet in the air going 200 to 250 mph. Shep explains 'barnstorming' and how the name came to be.  

Flyers who were always seen at these shows were the likes of Jimmy Doolittle and Roscoe Turner.

Part 2
The whole structure of mankind is like we're living in a vast anthill. He describes Mr. Bruner next door and how he works one day a year and celebrates it at Flick's Tavern. 

He once rode his bike 20 miles to see one of the Howard brothers. Driving as a family to watch two guys breaking the endurance record.

Marathon Dancing. The M.C. was Red Skelton.

Dolphins and how they went from land to sea... 'they are ahead of all of us'.

References are made to Vic and Sade, the characters and he quotes some of the expressions used on that show.","After the commercial breaks, Shep describes his mother standing in the Kitchen in her Rump Sprung Chenille bathrobe with the dried egg. 
Shep makes reference to Leigh in this show",
196006ddW,June 1960,We salute you comrades,,,,Radio,WOR Show,,,,"We salute you comrades; flamenco
 Phone call with Audrey
 Flamenco, cont.
 Meek shall inherit the earth
 Tabernacle in summer
 Credit application
 Mr. Flickinger returns
 Final security, cemetery ad
 break
 Abercrombie & Fitch
 Look for your SS#
 Would you hire you?
 Time, Life, Fortune
 Nancy's big meal
 Whistler on bus
 Your face is gonna freeze like that
 Nice day, Otto!
 Paul Sergeant ad
 Charles, medievalist
 Ragtime jazz
 Old lady with frog on hat
 St. Louis duplex?
 Home magazines, fantasy fiction
 Car ads
 Plains Indian chant
 What's bugging you, Castro, Mao?
 Indian chant
 Couples in cars
 .",,
19600702W,"July 2, 1960",Living in the Future,1960 07 02 Living In The Future.mp3,,,Radio,WOR Show,,"Ted, Jim, Don",,Living in the Future; Normal Living - Peace or War?;  Wallace Beery & Old Movies; Rain on 6th Avenue; Cab Ride; Riding Busses,,
19600703W,"July 3, 1960",Juno Alaska Radio Offer; H.K. Grubbage news,,,,Radio,WOR Show,,,,Juno Alaska Radio Offer; H.K. Grubbage news; Slang Dictionary; Dillinger as Crime Hero; $25 Ice Cream Sundae Business Luncheon; Wondrous Willie and Lost Daredevils,,
19600704W,"July 4, 1960",NO TITLE,,,,Radio,WOR Show,,"Eddie, Don",,,,
19600709W,"July 9, 1960",Party Conventions and Crowds,,,,Radio,WOR Show,,,,Party Conventions and Crowds; Riots; Yankee Go Home; The Lost Art of Radio Acting; Hitler & Evangelist Speakers;  The Nervous Sixties; Sun God; Gin and Watermelon,,
19600710Wa1,"July 10, 1960",Part 1 - Chain on the Door,,,,Radio,WOR Show,,"Jim, Don",,"Part 1 - Chain on the Door, Talking of Trifles, Who's in Charge of the Store, Man vs. Machine 

Also: April 02, 1960 - last 8 minutes only",,
19600710Wa2,"July 10, 1960",Part 2 - Mom's Cookie Cutters,,,,Radio,WOR Show,,"Jim, Don",,Part 2 - Mom's Cookie Cutters; NY Times Calls Shep for Help; Ford Pitches to Weak Hitter; Chinese Water Torture; Fu Manchu for President; Lifetime Credit Card; Phoney Old Moon,,
19600723W,"July 23, 1960",Patsies of the World,,,,Radio,WOR Show,,"Don, Jen",,Patsies of the World; Eagle and Cocker Spaniel; Built-In Obsolescence (Memory); Obsolete People - Used Presidents; Living in a Cartoon; Embattled Mankind (Starlings arrive in Queens); The Lone Ranger - Hiyo Silver!,,
19600730W,"July 30, 1960",Tropical Storm and Alligators in the Sewer,,,,Radio,WOR Show,,"Jim, Ed",,"Tropical Storm Brenda Hits NY
Shepherd Goes to Sea
The Sailor, the Sharks and the Turtle
The Footrace of Life
Living in Momentous Times
Womankind Abdicating It's Place
Alligators in the Sewer!",,
19600731W,"July 31, 1960","Listen Baby - ""Have some clams"" - Fear of the Inexplicable",1960_07_31_1.mp3,,,Radio,WOR Show,,,,"Listen Baby - ""Have some clams""
Emotional Appeal
Og and Charlie - The Great Turning Point
Poem: Changeling Blood
Man Laughs at Tragedy and has a Flat Tire
The Sales Presentation
Ike and the Congo Situation",,
19600807W,"August 7, 1960","Listen Baby - ""I'm not arguing with you, just involved""",,,,Radio,WOR Show,,,,"Listen Baby - ""I'm not arguing with you, just involved""
Flying with the Wings Up
NY Scavenging; Cybernetics
Used Thursday - A Rerun
Visiting Library as a Boy",,
19600814W,"August 14, 1960","The Importance of Being Important, Radio/TV, Story of Guy Grand, Maris Gets a Single, Mr Chips",1960_08_14_1.mp3,,,Radio,WOR Show,,,,"The Importance of Being Important
Radio/TV
Story of Guy Grand
Maris Gets a Single
Mr Chips
Jean Retires as Mr Chips
Fertilizer
Beauty Mark
Locked in Closet
Death Flute
Animal Stories",,
19600821W,"August 21, 1960",Mystery of woman,,,,Radio,WOR Show,,"Phil, Ed","Speaking of good guys & bad guys, guess which one, this is WOR AM & FM New York.","[from Max]
Mystery of woman 
Mr. Buitoni, opera singer
PhD topics
You're a gas man, right?
Old man percussion
Get me a wash rag
Uncle Carl
Panhandler in street
Indian chant, drum
Jug & banjo music
If you get back, tell them. . .

[from Ken Applegate]
Yin and Yang and Women
The Silent Generation
Book proposal: What people really say as opposed to what they think they say
Buitoni news article about his dream
The secret of a humorist
Shep reveals how he is impressed with the younger generation
Obscure college degree dissertations
Age assigned by what they remember
How people get pigeon holed or tagged
Your family station scenario
Starting to know
Jean offered a spot on the Gary Moore show head thumping
Obscure stories about life","[ken]
This is a little more than hour & is part of what would be a 4 hour show
There are other people in the studio with Jean
The show appears to be a lot of cut and paste of the 4 hour program",
19600827W,"August 27, 1960",Life of Riley -Who's Riley?,,,,Radio,WOR Show,,,,"Life of Riley -Who's Riley?, Salami, Milk and Jam, Admen become their own heroes, Shep and Nehru Get Tickets",,
19600828W,"August 28, 1960","Red Button: Do Not Press, Canned Laughter, Chewing the Fat, Rowboat of Life",,,,Radio,WOR Show,,,,"Red Button: Do Not Press, Canned Laughter, Chewing the Fat, Rowboat of Life",,
19600903W,"September 3, 1960",The Moment of Lucidity - Circus of Humanity,,,,Radio,WOR Show,,"Ed, Jim, Matt",,"The Moment of Lucidity; Circus of Life; MONY Sign; Remembering overnight shows from NJ transmitter; Making first purchase at new Paperbook Gallery (300 copies of ""I Libertine"" found!); more",,
19600904W,"September 4, 1960",Sunday Night Segment,1960_09_04_B.mp3,,,Radio,WOR Show,,,,,,
19600910W,"September 10, 1960","Fidel, Ike, and Shep's Trip to Guantanamo Bay Radio",,,,Radio,WOR Show,,Ed,,"Fidel, Ike, and Shep's Trip to Guantanamo Bay Radio; ""Six o' One, Half Dozen of the Other""; First-Name Basis and The Unloved American; Turnpikeism; newsbreak - Kruschev Visits UN.",Shep takes call from 2 listeners during the show,
19600911W,"September 11, 1960",More on Guantanamo Bay,,,,Radio,WOR Show,,"Ed, Russ",,"More on Guantanamo Bay Visit, Riffling over Jazz (A ""Listen Baby"" segment?); Air Conditioned Graves; Fu Manchu reading; Flier Reminisces with Shep about old shows; Fall Haiku",,
